ID,Company,Locality,Address,Match Method,Coordinates,Product,Resources,Number of Families,Families,Number of Beings,Beings
AB08,Irving (Paper),"Saint John, NB","435 Bayside Drive, Saint John, E2J 1B2",Address + Postal,"45.2789011,-66.0247017",Specialty Paper,https://www.jdirving.com/en/our-business-division/forestry-products/irvingpulpandpaper/,12,"['Macromiidae', 'Aeshnidae', 'Corduliidae', 'Gomphidae', 'Coenagrionidae']",11,"['Didymops transversa', 'Aeshna eremita', 'Aeshna interrupta', 'Somatochlora elongata', 'Epitheca cynosura', 'Epitheca spinigera', 'Somatochlora walshii', 'Phanogomphus spicatus', 'Phanogomphus exilis', 'Enallagma hageni', 'Enallagma minusculum']"
MB02,Resolute Forest Products,"Gatineau, QC","79 Rue Main, Gatineau, J8P 4C8",Address + Postal,"45.4794650,-75.6528730",Pulp,https://www.domtar.com/,2,"['Pyralidae', 'Chrysomelidae']",1,['Aphomia sociella']
NB01,Kruger,"Brompton, QC","220 route de Windsor, Sherbrooke, J1C 0E6",Address + Postal,"45.4805548,-71.9547667",Tissue Paper,https://www.kruger.com/contact-us/location/,0,N/A,0,N/A
NB03,Fortress Specialty Cellulose,"Thurso, QC","451 Rue Victoria, Thurso, J0X 3B0",Address + Postal,"45.5947961,-75.2544822",Closed,N/A,N/A,N/A,N/A,N/A
NB06,Cascades,"Lachute, QC","115 Rue Princesse, Lachute, J8H 4M3",Address + Postal,"45.6479282,-74.3511764",Packaging Paper,https://www.cascades.com/en/products-services/fibre-based-materials/containerboard,0,N/A,0,N/A
NB07,Paper Excellence,"Northern Pulp, NS","260 Granton Abercrombie Branch Road, Pictou County, B2H 5E8",Address + Postal,"45.6538151,-62.7162563",Pulp,https://www.domtar.com/paper-excellence-group-rebrands/,0,N/A,0,N/A
NB08,Enterprises Rolland,"St. Jerome, QC","256 Jean-Baptiste-Rolland Blvd., Saint-Jerome, J7Y 3Z7",Address + Postal,"45.7741440,-73.9979115",Printing Paper,https://sustanasolutions.com/,1,['Crambidae'],1,['Loxostege anartalis']
NB09,Cascades,"Kingsey Falls, QC","467 Boulevard Marie-Victorin, Kingsey Falls, J0A 1B0",Address + Postal,"45.8654038,-72.0658279",Tissue Paper,https://www.cascades.com/en/products-services/fibre-based-materials/containerboard,0,N/A,0,N/A
NF03,Kruger,"Crabtree, QC","100 1re Av, Crabtree, J0K 1B0",Address + Postal,"45.9738050,-73.4758384",Tissue Paper,https://www.kruger.com/contact-us/location/,0,N/A,0,N/A
NS01,AV Group,"Nackawic, NB","103 Pinder Road, Nackawic, E6G 1W4",Address + Postal,"46.0071918,-67.2292952",Pulp,https://www.avgroupinc.com/lander?oref=https://&query=Industrial+Manufacturing&afdToken=ChMIjICn7rXljwMVGbaJBB3PVSDkEnUBlLqpj3slx8Qhbhxd1RBZiHFlpd7qG-uhTq0oMMXQ51xlqKzem7fr_jnVQMnCZ1OoSrWP6huLuk7aFAkuI9KtO6z3ZJSIFxOfoR_JengKsBJCzk1E0obK47suYbEZF_iHXaqOZtcCQonci_5iNG_9EVl0D9MgATI1AfHlMsUSnSaiiPlBQ_j3vQoBSBHa0LgKE93Hn8Eixh7mJodnd3NsxQrHvTJZ2qr4a7ClZ38&pcsa=false&nb=0&nm=19&nx=373&ny=83&is=500x464&clkt=44&ch=1,0,N/A,0,N/A
NS03,Domtar,"Espanola, ON","1 Station Road, Espanola, P5E 1R6",Address + Postal,"46.2676364,-81.7684112",Pulp and Paper,https://www.domtar.com/,1,['Simuliidae'],1,N/A
NS04,Kruger,"Trois-Rivi�res, QC","3735 Blvd Gene H. Kruger, Trois-Rivi�res, G9A 6B1",Address + Postal,"46.3267087,-72.5584406",Tissue Paper,https://www.kruger.com/contact-us/location/,0,N/A,0,N/A
NS06,Kruger;Wayagamack,"Trois-Rivi�res, QC","Chemin de l'ile-de-la-Potherie, Trois-Rivi�res, G9A 5E9",Address + Postal,"46.3585248,-72.5224121",Tissue Paper,https://www.kruger.com/contact-us/location/,0,N/A,0,N/A
ON05,MPI Moulin,"Portneuf, QC","200 Rue du Moulin, Portneuf, G0A 2Y0",Address + Postal,"46.6909659,-72.0571049",Paper ,https://www.mpipapermills.com/site/home,1,['Staphylinidae'],1,N/A
ON06,Rayonier,"T�miscaming, QC","33 Chemin Kipawa, Temiscaming, J0Z 3R0",Address + Postal,"46.7352046,-79.0719434",Pulp,https://ryam.com/#,1,['Glossiphoniidae'],1,['Placobdella rugosa']
ON07,BP Canada,"Pont Rouge, QC","420 Rue Dupont, Pont Rouge, G3H 1S2",Address + Postal,"46.7487012,-71.7129310",Paper,https://bpcan.com/,0,N/A,0,N/A
ON11,Westrock,"La Tuque, QC","1000 Chemin De L'Usine, La Tuque, G9X 3P8",Address + Postal,"47.4450201,-72.7891030",Packaging Paper,https://www.westrock.com/,0,N/A,0,N/A
ON12,Resolute Forest Products,"Clermont, QC","100 Rue Donohue, Clermont, G4A 1A7",Address + Postal,"47.6975777,-70.2229712",Pulp,https://www.domtar.com/our-location/clermont-mill/,0,N/A,0,N/A
ON15,Thunder Bay Pulp & Paper Inc.,"Thunder Bay, ON","2001 Neebing Avenue, Thunder Bay, P7E 6S3",Address + Postal,"48.3722196,-89.3061824",Pulp,https://www.tbpulpandpaper.com/,0,N/A,0,N/A
ON17,Fibrek,"Saint-F�licien, QC","4000 Rte. St. Eusebe, St. F�licien, G8K 2R6",Address + Postal,"48.7445309,-72.5162190",Pulp,https://www.domtar.com/our-location/saint-felicien/,0,N/A,0,N/A
ON21,AV Group,"Terrace Bay, ON","21 Mill Road, Terrace Bay, P0T 2W0",Address + Postal,"48.7978432,-87.1061814",Pulp,https://www.avgroupinc.com/lander?oref=https://&query=Industrial+Manufacturing&afdToken=ChMIjICn7rXljwMVGbaJBB3PVSDkEnUBlLqpj3slx8Qhbhxd1RBZiHFlpd7qG-uhTq0oMMXQ51xlqKzem7fr_jnVQMnCZ1OoSrWP6huLuk7aFAkuI9KtO6z3ZJSIFxOfoR_JengKsBJCzk1E0obK47suYbEZF_iHXaqOZtcCQonci_5iNG_9EVl0D9MgATI1AfHlMsUSnSaiiPlBQ_j3vQoBSBHa0LgKE93Hn8Eixh7mJodnd3NsxQrHvTJZ2qr4a7ClZ38&pcsa=false&nb=0&nm=19&nx=373&ny=83&is=500x464&clkt=44&ch=1,0,N/A,0,N/A
ON24,Sappi,"Matane, QC","400 Rue du Port, Matane, G4W 3P6",Address + Postal,"48.8343590,-67.5477420",Paper / Coated Paper,https://www.sappi.com/en-us/about-us/locations/mills/matane-mill,0,N/A,0,N/A
PY01,Catalyst,"Crofton, BC","8541 Hay Road, Crofton, V0R 1R0",Address + Postal,"48.8767853,-123.6529403",Pulp,https://www.domtar.com/our-location/crofton/,0,N/A,0,N/A
PY02,Resolute Forest Products,"Dolbeau, QC","1, 4e Avenue, Dolbeau, G8L 2R4",Address + Postal,"48.8799086,-72.2176541",Pulp,https://www.domtar.com/our-location/saguenay-lac-saint-jean/,1,['Crambidae'],1,['Ostrinia marginalis']
PY05,Kruger,"Corner Brook, NF","1 Mill Road, Corner Brook, A2H 6B9",Address + Postal,"48.9531830,-57.9490532",Pulp and Paper,https://www.kruger.com/contact-us/location/,1,['Tabanidae'],1,['Chrysops furcatus']
PY07,Nordic Kraft,"Lebel-sur-Qu�villon, QC","30 Chemin du Moulin, Lebel-sur-Qu�villon, J0Y 1X0",Address + Postal,"49.0358217,-76.9843187",Kraft Paper,https://www.chibou.com/fr/nordic-kraft,0,N/A,0,N/A
PY12,Nanaimo Forest Products,"Harmac, BC","1000 Wave Place, Nanaimo, V9X 1J2",Address + Postal,"49.1329123,-123.8674113",Lumber,https://harmacpacific.com/,0,N/A,0,N/A
PY13,Resolute Forest Products,"Baie-Comeau, QC","20 Avenue Marquette , Baie Comeau, G4Z 1K6",Address + Postal,"49.2213623,-68.1497980",Pulp,https://www.domtar.com/wp-content/uploads/2024/12/Resolute-FP-Inc.pdf,0,N/A,0,N/A
PY14,Catalyst,"Port Alberni, BC","4000 Stamp Avenue, Port Alberni, V9Y 5J7",Address + Postal,"49.2511585,-124.8082447",Pulp,https://www.domtar.com/,13,"['Crambidae', 'Pyralidae', 'Limnephilidae', 'Philopotamidae', 'Hydropsychidae', 'Polycentropodidae', 'Leptoceridae', 'Lepidostomatidae', 'Phryganeidae', 'Brachycentridae']",12,"['Herpetogramma aquilonalis', 'Evergestis pallidata', 'Pediasia trisecta', 'Dioryctria banksiella', 'Dioryctria reniculelloides', 'Halesochila taylori', 'Dolophilodes dorca', 'Polycentropus variegatus', 'Oecetis inconspicua', 'Lepidostoma jewetti', 'Agrypnia macdunnoughi', 'Micrasema bactro']"
PY17,Mercer Celgar,"Castlegar, BC","1921 Arrow Lakes Drive, Castlegar, V1N 3H9",Address + Postal,"49.3359179,-117.7386915",Pulp,https://mercerint.com/our-operations/mercer-celgar/,0,N/A,0,N/A
PY18,Paper Excellence,"Howe Sound, BC","3838 Port Mellon Highway, Port Mellon, V0N 2S0",Address + Postal,"49.4958574,-123.4996684",Pulp,https://www.domtar.com/our-location/howe-sound/,0,N/A,0,N/A
PY19,Domtar,"Dryden, ON","1 Duke Street, Dryden, P8N 2Z7",Address + Postal,"49.7844987,-92.8216561",Pulp and Paper,https://www.domtar.com/en,5,"['Chironomidae', 'Limnephilidae', 'Chrysomelidae', 'Limoniidae', 'Dolichopodidae']",1,['Limnephilus submonilifer']
PY20,Catalyst,"Powell River, BC","5775 Ash Avenue, Powell River, V8A 4R3",Address + Postal,"49.8737375,-124.5517862",Pulp,https://www.kruger.com/contact-us/location/,0,N/A,0,N/A
PY21,Kruger,"Kamloops, BC","2005 Mission Flats Road, Kamloops, V2C 1A9",Address + Postal,"50.6897010,-120.4008570",Pulp and Paper,https://www.kruger.com/contact-us/location/,4,"['Crambidae', 'Pyralidae']",3,"['Eudonia rectilinea', 'Dioryctria abietivorella', 'Phobus brucei']"
PY22,Cariboo Pulp and Paper,"Quesnel, BC","50 North Star Road, Quesnel, V2J 3J6",Address + Postal,"52.9820602,-122.4669038",Pulp,https://cariboocontractor.com/,0,N/A,0,N/A
PY25,Quesnel River Pulp,"Quesnel, BC","1000 Finning Road, Quesnel, V2J 6A1",Address + Postal,"53.0000758,-122.4985547",Pulp,https://www.westfraser.com/investors/news/news-releases/west-fraser-announces-completion-sale,0,N/A,0,N/A
PY26,West Fraser,"Hinton, AB","760 Switzer Drive, Hinton, T7V 1V7",Address + Postal,"53.4162577,-117.5605900",Lumber,https://www.westfraser.com/,0,N/A,0,N/A
QC01,Canfor; PGI,"Prince George, BC","2533 Prince George Pulpmill Road, Prince George, V2N 2K3",Address + Postal,"53.9283930,-122.7667724",Lumber,https://www.canfor.com/,6,"['Chrysomelidae', 'Empididae', 'Staphylinidae', 'Dolichopodidae']",3,"['Altica corni', 'Philonthus cognatus', 'Philonthus carbonarius']"
QC02,Millar Western,"Whitecourt, AB","5004 52 St, Whitecourt, T7S 1N2",Address + Postal,"54.1456739,-115.6888602",Pulp,https://millarwestern.com/,0,N/A,0,N/A
QC03,Alberta Pacific Forest Industries,"Boyle, AB","Range Road 195A, Boyle, T0A 0M0",Address + Postal,"54.6018356,-112.8286155",Pulp,https://alpac.ca/,0,N/A,0,N/A
QC04,International Paper,"Grande Prairie, AB","Grande Prairie County No. 1, Grande Prairie, T8V 3A9",Address + Postal,"55.3312046,-119.2114550",Paper,https://www.internationalpaper.com/,0,N/A,0,N/A
QC05,Canfor,"Taylor, BC","8300 Cherry Avenue East, Taylor, V0C 2K0",Address + Postal,"56.1537020,-120.6588689",Lumber,https://www.canfor.com/,0,N/A,0,N/A
QC16,Strathcona Paper,"Napanee, ON","77 County Road 16 R.R. #7, Napanee, K7R 3L2",Company Name + City,"44.2598141,-76.9726488",Paper,http://www.strathconapaper.com/,5,"['Chironomidae', 'Chrysomelidae', 'Staphylinidae', 'Tipulidae', 'Limoniidae']",4,"['Dicrotendipes modestus', 'Diabrotica barberi', 'Oxybleptes kiteleyi', 'Tipula oleracea']"
QC19,Canfor; Northwood Pulp,"Prince George, BC","5353 Northwood Pulp Road, Prince George, V2L 4W2",Company Name + City,"53.9791165,-122.6942755",Pulp,https://www.canfor.com/,1,['Dolichopodidae'],1,['Dolichopus discifer']
QC22,Cascades,"Cabano, QC","520 Rue Commerciale N, T�miscouata-sur-le-Lac, G0L 1E0",Company Name + City,"47.6705152,-68.8633535",Packaging Paper,https://www.cascades.com/en/products-services/fibre-based-materials/containerboard,0,N/A,0,N/A
QC26,Domtar,"Windsor, QC","609 12e Rang, Windsor, J1S 2L9",Company Name + City,"45.5667713,-71.9841709",Paper,https://www.domtar.com/en,0,N/A,0,N/A
QC29,Kruger,"Gatineau, QC","20 Laurier St, Gatineau, J8X 4H3",Company Name + City,"45.4579428,-75.7318026",Paper,https://www.kruger.com/contact-us/location/,4,"['Pyralidae', 'Hydropsychidae', 'Corixidae', 'Dolichopodidae']",4,"['Aphomia sociella', 'Macrostemum transversum', 'Hesperocorixa minorella', 'Dolichopus sp. SEB34']"
QC06,Alberta Newsprint,"Whitecourt, AB","Postal Bag 9000 10km West, Hwy 43, Whitecourt, T7S 0A1",Company Name +Verification,"54.1797040,-115.8053026",Newsprint,https://www.albertanewsprint.com/,0,N/A,0,N/A
QC11,Twin Rivers Paper,"Edmunston, NB","27 Rue Rice, Edmunston, E3V 1S9",Company Name +Verification,"47.3696930,-68.3339061",Paper,https://www.twinriverspaper.com/,1,['Crambidae'],1,['Anania funebris']
QC14,Port Hawkesbury Paper,"Port Hawkesbury, NS","120 Pulp Mill Road, Port Hawkesbury, B9A 1A1",Company Name +Verification,"45.5968238,-61.3564940",Paper,https://www.porthawkesburypaper.com/,0,N/A,0,N/A
QC07,Mercer Celgar,"Peace River, AB","1 Pulp Mill Site Road, Peace River, T8S 1V7",Google Maps Manual,"56.37071347086452, -117.18876187871764",Pulp,https://mercerint.com/?doing_wp_cron=1758304110.8749930858612060546875,0,N/A,0,N/A
QC08,West Fraser,"Slave Lake, AB","East, W Mitsue Ind Rd, Slave Lake, T0G 2A0",Google Maps Manual,"55.27217834064143, -114.60014151062973",Lumber,https://www.westfraser.com/,0,N/A,0,N/A
QC10,AV Group,"Atholville, NB","175 Mill Ch., Atholville, E3N 4S7",Google Maps Manual,"47.993151404598606, -66.72589005886344",Pulp,https://www.avgroupinc.com/lander?oref=https://cac-excel.officeapps.live.com/&query=Industrial+Manufacturing&afdToken=ChMIlrKWlbzljwMV45CJBB3r9gYTEm8BlLqpjyco5rbadrOinv0Qo-m42RlN3abLPNR7sAeFFhsP0XWpa2uF4Pm8nvXq9LVRZY0gwZ8VROHFLJLnZz-ZLqnKfemvMumkT5WW3WeWuQe_t-dFw4r2uAuCT5KfhY4qc2QJIkM_EBiN2qPocbEgATI0AfHlMsXS3KJ0G4EGwARsQ-Z8bGUKKJ4_q9phvgsWQiksHmZk85zHa_qYoizMuCUXh4if1A&pcsa=false&nb=0&rurl=https%3A%2F%2Fwww.avgroupinc.com%2F&nm=24&nx=334&ny=76&is=500x464&clkt=85&ch=1,0,N/A,0,N/A
QC15,Green First,"Kapuskasing, ON","1 Government Road E, Kapuskasing, P5N 2Y2",Google Maps Manual,"49.40499007029414, -82.42490395946614",Paper,https://greenfirst.ca/,47,"['Sialidae', 'Naididae', 'Hyalellidae', 'Chironomidae', 'Elmidae', 'Ceratopogonidae', 'Caenidae', 'Hydropsychidae', 'Heptageniidae', 'Helicopsychidae', 'Molannidae', 'Leptoceridae', 'Dipseudopsidae', 'Lepidostomatidae', 'Gomphidae', 'Ephemerellidae', 'Ephemeridae', 'Sphaeriidae', 'Phryganeidae', 'Limoniidae', 'Physidae', 'Sparganophilidae']",11,"['Hyalella azteca', 'Stenelmis crenata', 'Dubiraphia vittata', 'Stenacron interpunctatum', 'Helicopsyche borealis', 'Mystacides sepulchralis', 'Phylocentropus placidus', 'Hexagenia limbata', 'Ephemera simulans', 'Physella gyrina', 'Sparganophilus eiseni']"
QC17,Paper Excellence,"Mackenzie, BC","1000 Coquawaldy Road, Mackenzie, V0J 2C0",Google Maps Manual,"55.29045075941245, -123.15929408461658",Pulp,https://www.domtar.com/,1,['Dytiscidae'],1,['Agabus anthracinus']
QC18,Paper Excellence,"Skookumchuck, BC","4501 Farstad Way, Skookumchuck, V0B 2E0",Google Maps Manual,"49.91464795755123, -115.76401781785201",Pulp,https://www.domtar.com/,0,N/A,0,N/A
QC21,Papiers White Birch; F.F. Soucy,"Riviere-du-Loup, QC","191 Delage Street, Rivi�re-du-Loup, G5R 6E2",Google Maps Manual,"47.81857457213737, -69.52019660378238",Paper,https://whitebirchpaper.com/,0,N/A,0,N/A
QC23,Resolute Forest Products,"Alma, QC","1100 Melancon West Street, Alma, G8B 5R7",Google Maps Manual,"48.56329049935884, -71.65592155920176",Pulp,https://www.domtar.com/wp-content/uploads/2024/12/Resolute-FP-Inc.pdf,0,N/A,0,N/A
QC24,Resolute Forest Products,"K�nogami, QC","3750 Champlain Street, Jonqui�re, G7S 5J7",Google Maps Manual,"48.42939067834831, -71.2439501040515",Pulp,https://www.domtar.com/wp-content/uploads/2024/12/Resolute-FP-Inc.pdf,0,N/A,0,N/A
QC25,Papiers White Birch,"Stadacona, QC","10 Boulevard des Capucins, Stadacona, G1J 3R4",Google Maps Manual,"46.824281076209296, -71.21453192731093",Paper,https://whitebirchpaper.com/,0,N/A,0,N/A
QC28,Papiers White Birch;Papiers Masson,"Gatineau, QC","2 Chemin de Montr�al O, Gatineau, J8M 1A4",Google Maps Manual,"45.539673632970285, -75.42612280012584",Paper,https://whitebirchpaper.com/,0,N/A,0,N/A
QC30,Resolute Forest Products,"Amos, QC","801 Rue des Papetiers, Amos, J9T 3X5",Google Maps Manual,"48.56611168567007, -78.16001818438717",Pulp,https://www.domtar.com/wp-content/uploads/2024/12/Resolute-FP-Inc.pdf,0,N/A,0,N/A
